CIDADE,UF,ENTIDADE,ENDEREÇO,CONTATO,TIPO,,,TIPOS,
Rio de Janeiro,RJ,Equipe 1 Academia,"Av Nossa Senhora de Copacabana, 702 - B 1-3 pavimento",(21) 2548-8860,Musculação,1,,,
Rio de Janeiro,RJ,Espaço Stella Torreão,"R Fonte da Saudade, 146 - Lagoa",(21) 2579-3138,Musculação,1,,,
Rio de Janeiro,RJ,Forma Total Academia,"Rua Humaitá, 258 - Humaitá",(21) 2539-1348,Musculação,1,,,
Rio de Janeiro,RJ,FortFit by Vitor Belfort,"Av Rosauro Estelita, 607 | Condômino Rio Mar III - Barra da Tijuca",(21) 3613-4343,CrossFit,1,,,
Rio de Janeiro,RJ,Net Neuron and Terapeutics,,,Musculação,1,,,
Rio de Janeiro,RJ,Smartfit BARRA DA TIJUCA 3,"Av das Americas, 900 - Conviva Americas - Barra da Tijuca",,Musculação,1,,,
Rio de Janeiro,RJ,Smartfit BARRA DA TIJUCA 4,"Shopping Via Parque - Av Ayrton Senna, 3000/ Loja 2046D - Barra da Tijuca",,Musculação,1,,,
Rio de Janeiro,RJ,Smartfit CENTRO RIO 3,Lrg da Carioca - Centro (Metro Carioca),,Musculação,1,,,
Rio de Janeiro,RJ,Smartfit JARDIM BOTÂNICO,"R Jardim Botanico, 650 - Jd Botanico",,Musculação,1,,,
Rio de Janeiro,RJ,Sociedade Hípica Brasileira,"R Jardim Botanico, 421 - Gavea",(21) 2156-0170,Musculação,1,,,
Rio de Janeiro,RJ,Studio RM Fitness,"Rua das Verbenas, 300 - Vila Valqueire",(21) 3796-1599,CrossFit,1,,,
Rio de Janeiro,RJ,Studio Treinamento Personalizado,"R Octávio de Faria 81, loja E - Recreio",(21) 98027-1607,Musculação,1,,,
São Gonçalo,RJ,Smartfit SÃO GONÇALO 2,"Boulevard Shopping - Av Presidente Kennedy, 245 - CS 101 A - Centro",,Musculação,1,,,
Niterói,RJ,Academia Tio Sam (Camboinhas),"Av Prof Florestan Fernandes, 1625",(21) 3184-9100,CrossFit,1,,,
Mossoró,RN,Overall Training por Priscila Guzen,"R Machado de Assis, 394 - Centro",(84) 3317-6336,CrossFit,1,,,
Natal,RN,Platinum Fitness,"R dos Potiguares, 73 - Dix Sept Rosado",(84) 3223-4245,Musculação,1,,,
Natal,RN,Pulse Health & Fitness,"R Aloisio Bezerra, 116 - Lagoa Nova",(84) 3345-6000,Musculação,1,,,
Cachoeira do Sul,RS,Grêmio Náutico Tamandaré,R Antonio Gomes Pereira 1.655 - Carvalho,(51) 3722-2456,Clube de Remo,1,,,
Caxias do Sul,RS,Performa Academia,"R Moreira Cesar, 1685 - Pio X",(54) 3224-5069,aula coletiva,1,,,
Cruz Alta,RS,Sky Gym,"R Domingos Veríssimo, 636 - Centro",(55) 3303-6966,Musculação,1,,,
Gramado,RS,Corpus Academia,"Av Borges de Medeiros, 4770",,Musculação,1,,,
Pelotas,RS,Viva Fitness,"R Dom Pedro II, 655 - Centro",(53) 3292-4898,Musculação,1,,,
Porto Alegre,RS,Clube de Regatas Guaíba (GPA),"R João Moreira Maciel, 470 - Bairro Navegantes",(51) 3342-2197,Clube de Remo,1,,,
Porto Alegre,RS,Gremio Náutico União,"R João Obino, 300",(51) 3342-4071,Clube de Remo,1,,,
Porto Alegre,RS,Preventiva RS,"Travessa do Carmo, 152/ Loja 154 - Cidade Baixa",(51) 3519-7919,Musculação,1,,,
Porto Alegre,RS,PUC-RS,"Av Ipiranga, 6681",(51) 3320-3669,Musculação,1,,,
Porto Alegre,RS,Studio Bpro,"Av Otto Niemeyer, 855 - Tristeza",(51) 3242-1379,Musculação,1,,,
Porto Alegre,RS,Urgetrauma Pronto Socorro,"Av Assis Brasil, 2.959",(51) 3341-1302,Musculação,1,,,
Blumenau,SC,Clube Náutico América,"R XV de Novembro, 74",(47) 3326-6613,Clube de Remo,1,,,
